<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^DJI,D,20080422,000000,12825.02,12870.86,12604.53,12720.23,3821900000,0
^DJI,D,20080423,000000,12721.45,12883.80,12627.00,12763.22,4103610000,0
^DJI,D,20080424,000000,12764.68,12979.88,12651.51,12848.95,4461660000,0
^DJI,D,20080425,000000,12848.38,12987.29,12703.70,12891.86,3891150000,0
^DJI,D,20080428,000000,12890.76,13015.62,12791.55,12871.75,3607000000,0
^DJI,D,20080429,000000,12870.37,12970.27,12737.82,12831.94,3815320000,0
^DJI,D,20080430,000000,12831.45,13052.91,12746.45,12820.13,4508890000,0
^DJI,D,20080501,000000,12818.34,13079.94,12721.94,13010.00,4448780000,0
^DJI,D,20080502,000000,13012.53,13191.49,12931.35,13058.20,3953030000,0
^DJI,D,20080505,000000,13056.57,13105.75,12896.50,12969.54,3410090000,0
^DJI,D,20080506,000000,12968.89,13071.07,12817.53,13020.83,3924100000,0
^DJI,D,20080507,000000,13010.82,13097.77,12756.14,12814.35,4075860000,0
^DJI,D,20080508,000000,12814.84,12965.95,12727.56,12866.78,3827550000,0
^DJI,D,20080509,000000,12860.68,12871.75,12648.09,12745.88,3518620000,0
^DJI,D,20080512,000000,12768.38,12903.33,12746.36,12876.05,3370630000,0
^DJI,D,20080513,000000,12872.08,12957.65,12716.16,12832.18,4018590000,0
^DJI,D,20080514,000000,12825.12,13037.44,12806.21,12898.38,3979370000,0
^DJI,D,20080515,000000,12891.29,13028.16,12798.39,12992.66,3836480000,0
^DJI,D,20080516,000000,12992.74,13069.52,12860.60,12986.80,3842590000,0
^DJI,D,20080519,000000,12985.41,13170.97,12899.19,13028.16,3683970000,0
^DJI,D,20080520,000000,13026.04,13026.04,12742.29,12828.68,3854320000,0
^DJI,D,20080521,000000,12824.94,12926.71,12550.39,12601.19,4517990000,0
^DJI,D,20080522,000000,12597.69,12743.68,12515.78,12625.62,3955960000,0
^DJI,D,20080523,000000,12620.90,12637.43,12420.20,12479.63,3516380000,0
^DJI,D,20080527,000000,12479.63,12626.84,12397.56,12548.35,3588860000,0
^DJI,D,20080528,000000,12542.90,12693.77,12437.38,12594.03,3927240000,0
^DJI,D,20080529,000000,12593.87,12760.21,12493.47,12593.87,3894440000,0
^DJI,D,20080530,000000,12647.36,12750.84,12555.60,12638.32,3845630000,0
^DJI,D,20080602,000000,12637.67,12645.40,12385.76,12503.82,3714320000,0
^DJI,D,20080603,000000,12503.20,12620.98,12317.61,12402.85,4396380000,0
^DJI,D,20080604,000000,12391.86,12540.37,12283.74,12390.48,4338640000,0
^DJI,D,20080605,000000,12388.81,12652.81,12358.07,12604.45,4350790000,0
^DJI,D,20080606,000000,12602.74,12602.74,12180.50,12209.81,4771660000,0
^DJI,D,20080609,000000,12210.13,12406.36,12102.50,12280.32,4404570000,0
^DJI,D,20080610,000000,12277.71,12425.98,12116.58,12289.76,4635070000,0
^DJI,D,20080611,000000,12286.34,12317.20,12029.46,12083.77,4779980000,0
^DJI,D,20080612,000000,12089.63,12337.72,12041.43,12141.58,4734240000,0
^DJI,D,20080613,000000,12144.59,12376.72,12096.23,12307.35,4080420000,0
^DJI,D,20080616,000000,12306.86,12381.44,12139.79,12269.08,3706940000,0
^DJI,D,20080617,000000,12269.65,12378.67,12114.14,12160.30,3801960000,0
^DJI,D,20080618,000000,12158.68,12212.33,11947.07,12029.06,4573570000,0
^DJI,D,20080619,000000,12022.54,12188.31,11881.03,12063.09,4811670000,0
^DJI,D,20080620,000000,12062.19,12078.23,11785.04,11842.69,5324900000,0
^DJI,D,20080623,000000,11843.83,11986.94,11731.06,11842.36,4186370000,0
^DJI,D,20080624,000000,11842.36,11962.37,11668.53,11807.43,4705050000,0
^DJI,D,20080625,000000,11805.31,12008.70,11683.75,11811.83,4825640000,0
^DJI,D,20080626,000000,11808.57,11808.57,11431.92,11453.42,5231280000,0
^DJI,D,20080627,000000,11452.85,11556.33,11248.48,11346.51,6208260000,0
^DJI,D,20080630,000000,11345.70,11504.55,11226.34,11350.01,5032330000,0
^DJI,D,20080701,000000,11344.64,11465.79,11106.65,11382.26,5846290000,0
