Date,Open,High,Low,Close,Volume,Adj Close
2006-06-19,681.53,683.53,673.13,674.73,000,674.73
2006-06-16,683.38,683.67,678.33,681.17,000,681.17
2006-06-15,669.48,684.89,668.90,683.53,000,683.53
2006-06-14,666.04,669.85,663.18,668.92,000,668.92
2006-06-13,673.00,676.65,665.03,665.81,000,665.81
2006-06-12,682.36,683.45,673.01,673.10,000,673.10
2006-06-09,684.98,687.86,680.88,682.16,000,682.16
2006-06-08,683.70,685.82,672.44,684.78,000,684.78
2006-06-07,688.21,692.98,684.11,684.26,000,684.26
2006-06-06,689.77,691.84,683.11,688.09,000,688.09
2006-06-05,701.56,702.05,689.27,689.58,000,689.58
2006-06-02,701.01,703.41,697.60,701.91,000,701.91
2006-06-01,691.95,700.54,691.38,700.54,000,700.54
2006-05-31,685.94,691.78,685.66,691.78,000,691.78
2006-05-30,696.05,696.65,685.89,685.89,000,685.89
2006-05-26,692.64,696.89,692.41,696.71,000,696.71
2006-05-25,685.27,692.71,684.59,692.49,000,692.49
2006-05-24,683.97,688.17,677.25,684.67,000,684.67
2006-05-23,687.77,693.49,683.83,684.01,000,684.01
2006-05-22,689.41,690.51,681.97,687.05,000,687.05
2006-05-19,687.72,692.91,684.44,690.14,000,690.14
2006-05-18,692.54,694.73,687.49,687.53,000,687.53
2006-05-17,703.33,703.91,690.65,692.13,000,692.13
2006-05-16,705.15,707.10,702.04,704.09,000,704.09
2006-05-15,703.35,705.35,699.85,705.12,000,705.12
2006-05-12,711.51,711.94,703.33,703.79,000,703.79
2006-05-11,720.57,720.93,710.79,711.96,000,711.96
2006-05-10,721.73,722.42,718.21,720.97,000,720.97
2006-05-09,721.86,723.07,721.09,722.27,000,722.27
2006-05-08,722.14,723.25,721.24,722.25,000,722.25
2006-05-05,715.70,722.87,714.95,722.57,000,722.57
2006-05-04,712.64,716.40,712.39,714.97,000,714.97
2006-05-03,715.10,715.19,710.31,712.41,000,712.41
2006-05-02,711.83,715.31,711.30,715.05,000,715.05
2006-05-01,714.64,717.94,710.46,711.34,000,711.34
2006-04-28,712.44,717.24,712.03,714.37,000,714.37
2006-04-27,710.91,716.67,706.22,713.91,000,713.91
2006-04-26,710.24,714.64,709.88,711.43,000,711.43
2006-04-25,713.46,714.58,708.55,709.95,000,709.95
2006-04-24,714.87,715.11,710.93,713.35,000,713.35
2006-04-21,716.16,718.57,712.50,715.11,000,715.11
2006-04-20,714.69,719.03,712.76,715.50,000,715.50
2006-04-19,713.23,714.92,710.71,714.78,000,714.78
2006-04-18,701.35,713.91,701.35,713.16,000,713.16
2006-04-17,702.86,704.94,698.52,701.07,000,701.07
2006-04-13,702.46,704.65,699.97,703.10,000,703.10
2006-04-12,701.59,703.99,701.54,702.53,000,702.53
